BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
97332,33789,9302,302136,5103,3060501,139169,963327,10403,14444
3060501,5384,134909,10724,56825,38835,768,214919,60096,4580
551271,84968,17244,230236,141991,1323504,6138,125332,16845,26476
42674,20220,66689,19349,14814,2277647,10966,315491,529938,9312
135063,16846,13736,98504,133444,42443,765512,101153,1930,24990
24280,106341,46411,17611,52584,435939,26447,349912,2110,63833
311209,1199,15688,192780,1673792,48444,135274,129806,11314,1113321
316964,80687,420414,180932,323072,462466,17290,84122,141871,1419757
117124,218501,112395,1584,274,665445,149801,392947,16845,25032
166063,228643,145789,142288,335322,3894166,28227,95179,86381,75254
82145,218501,228643,80911,52006,14859,6311,13524,109261,1011169
52603,134100,67207,418175,9628,853734,52083,111733,62790,77857
435939,218501,57091,1244852,444586,645544,743275,901319,30424,499859
59302,325117,110504,348098,192997,29716,26042,223752,70406,60613
52270,3676,380436,3357,34179,356572,167825,70040,418175,613981
5391,7351185,5037,113615,72474,30394,385072,124354,194252,8173
46571,4222,962871,418175,1673792,717075,66658,31221,147644,100885
3726,6311,243436,13179,81187,19998,113150,31505,147752,6696
77143,22709,74488,421534,30271,34918,113150,146227,418175,7768
1340722,14116,8260,3360885,34123,75309,48145,29284,418175,26338
23635,198769,387356,418175,39180,2779205,17941,398463,59019,55713
156915,45623,374274,418175,11682,539809,20159,102227,14975,77857
82186,264232,74089,651618,78018,12599,14938,52948,23018,238515
506809,78341,30863,59748,7906,146224,4955,41177,418175,7179
506809,7640,234088,453156,34179,1799564,21525,76549,418175,25298
5682,43667,840279,161680,58980,162586,98726,2012,233841,331622
598045,73528,20289,47092,133349,114292,113150,29531,37662,478816
2363,233675,29304,1499369,249334,29716,194758,15946,53957,87130
374036,26648,1744031,113075,521203,36370,3830,165012,261958,120172
42642,2673,95323,101318,53911,7928,25562,3360885,147752,633923
2779205,32297,66728,230781,129496,902689,35499,38461,418175,413401
33104,84431,70991,49794,4047,14753,17196,159778,14729,1674574
52948,17808,103962,11934,11383,491,110106,2377,24902,71721
2277446,80979,54634,5578,1650801,665445,75893,170739,309983,2377
461363,91806,128519,49794,5369,1011297,2970,1744888,758251,2166
3344169,29655,735792,56816,28426,180856,203487,103962,49951,55713
12159,400684,64427,49794,1122422,1323504,22754,175643,7619,5977
20636,94523,3829,439697,1673792,26643,180156,90181,24902,1136
1511838,363643,71135,49963,4571,86665,1270672,21307,24902,155358
76389,14642,67594,130116,532311,51300,44443,50523,31380,8205
1511838,33737,15684,36440,191313,665445,10502,88030,216072,819037
1511838,16645,81555,20950,119577,169849,40737,1244852,49951,6308
22457,75893,2023932,24902,25229,174421,33737,118756,87316,819037
33934,141318,32770,31759,60882,507703,105089,165349,53844,5120
56820,129929,104485,15788,158,12772,18160,57102,5578,60882
408768,14562,106713,67974,127199,212094,16645,161567,49951,13653
2277446,451794,21984,87374,203899,53634,18237,49951,29050,53548
112991,29542,57312,5578,171576,41821,94523,1220378,156540,919414
35846,447770,139855,4489,222987,18349,285117,12291,5578,56825
24152,27504,14771,54787,17199,53490,14011,120175,49951,145132
15887,765512,31846,183878,29034,567498,18128,332543,135690,444586
3344169,765512,250187,7581,29479,249710,88133,1220378,76342,32815
14578,180871,17720,56816,8917,1511838,22754,28598,27986,142972
250672,307641,398463,48590,26608,59302,46662,143526,182599,14279
51247,307641,59302,8282,179347,25163,213423,43718,105808,8333
2277446,2183,252123,17740,27641,73712,187005,201458,10621,1641976
592247,27081,111595,89585,52709,535986,25613,533883,13741,151031
324560,62997,2741,74278,583410,47306,245255,28598,39939,47578
76389,134100,132174,1379,278209,2208100,4732,9081,19342,27668
16852,482433,7941,28167,1106795,1224252,3698,28598,7096,66616
135063,53987,40095,11647,131779,148465,4125,28598,91181,179347
2396010,641179,103500,148026,230929,324544,356853,259423,129619,32499
13838,141318,28598,162895,247984,2396010,7351185,387181,22149,532311
2396010,387356,250187,566726,117775,35846,53130,809635,77721,224259
37862,47848,205901,180932,4773,14347,1270672,356853,758251,1688622
39320,125453,9081,51269,51700,82145,49917,26616,809635,39170
665445,60069,28598,17568,60325,8726,35714,151396,361417,1859
665445,33737,111595,10597,53235,77522,2669483,29513,40236,1342662
