BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
512,457,815,242,180,1105,54,19,50,327,271,853,580,523,1073,336,256,758,907,854,920,403.0,344.0,1038.0,506.0,457.0,721.0,357.0,295.0,946.0
403,344,1038,682,639,712,600,548,722,117,66,709,473,422,893,355,278,766,291,225,1393,773.0,732.0,719.0,808.0,756.0,741.0,391.0,356.0,696.0
403,344,1038,66,42,129,315,248,979,362,302,1120,149,114,568,347,278,1201,1288,1238,826,1184.0,1139.0,730.0,51.0,21.0,83.0,651.0,596.0,963.0
403,344,1038,351,302,767,662,590,1059,6,2,56,652,612,400,442,372,818,419,358,704,448.0,410.0,733.0,615.0,539.0,1044.0,664.0,637.0,540.0
1072,1013,988,895,856,540,312,268,778,337,285,977,664,637,540,403,344,1038,844,778,734,448.0,410.0,733.0,742.0,710.0,668.0,714.0,624.0,817.0
403,344,1038,411,369,828,200,135,1154,339,294,832,504,450,873,252,183,1140,444,373,1294,112.0,75.0,666.0,523.0,451.0,1280.0,522.0,470.0,904.0
403,344,1038,112,75,666,668,606,1166,575,500,824,651,602,587,567,506,983,124,89,549,633.0,579.0,911.0,424.0,372.0,729.0,559.0,486.0,1069.0
378,324,831,526,454,965,466,418,829,473,422,893,9,9,67,403,344,1038,668,587,1140,495.0,433.0,1047.0,1499.0,1449.0,492.0,104.0,79.0,534.0
80,44,342,728,668,983,740,668,972,443,348,819,373,318,985,505,453,991,14,7,61,127.0,69.0,1183.0,781.0,722.0,746.0,304.0,227.0,1370.0
346,293,858,505,453,991,175,113,594,226,157,1204,576,506,1197,627,580,867,741,668,990,127.0,69.0,1183.0,682.0,639.0,712.0,259.0,235.0,624.0
262,206,991,235,182,973,147,112,849,579,525,819,6,5,63,469,424,817,741,668,990,336.0,256.0,758.0,523.0,480.0,604.0,522.0,470.0,904.0
