BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
505,470,720,89,77,146,425,386,895,772,742,729,552,498,1074,582,545,596,762,732,890,650.0,588.0,951.0,179,171,691,21,23,7
304,244,1119,335,271,1007,425,386,895,179,171,691,535,517,608,582,545,596,591,538,1144,127.0,114.0,848.0,660,624,728,17,10,74
352,307,957,262,218,893,425,386,895,535,517,608,480,397,1457,227,167,1090,111,78,761,47.0,47.0,71.0,340,256,1462,165,129,754
592,536,1033,264,227,847,425,386,895,63,42,68,11,8,80,20,7,22,478,447,925,249.0,210.0,883.0,146,111,829,346,314,568
419,378,465,1129,1094,684,425,386,895,42,47,27,11,8,80,145,110,658,335,271,1007,334.0,307.0,636.0,72,45,82,695,646,677
243,224,288,144,123,533,655,602,601,455,436,382,327,274,675,165,133,736,667,630,653,425.0,386.0,895.0,146,114,519,218,203,422
306,271,1055,304,273,685,365,310,969,312,262,962,92,94,60,558,520,857,258,235,602,425.0,386.0,895.0,198,149,824,30,23,67
142,98,763,149,117,1100,425,386,895,312,262,962,221,223,767,306,271,1055,304,273,685,365.0,310.0,969.0,353,299,1041,142,104,1002
280,243,809,477,447,909,414,398,942,64,37,361,346,314,568,649,602,810,575,538,874,425.0,386.0,895.0,276,227,701,74,62,407
350,317,663,61,43,543,538,517,561,265,240,586,178,179,656,8,6,78,108,79,529,425.0,386.0,895.0,248,186,1172,5,6,6
134,110,860,328,274,925,26,22,100,134,119,927,177,106,1303,815,767,929,100,46,100,425.0,386.0,895.0,207,114,1703,494,450,936
122,108,751,477,447,909,425,386,895,184,155,697,30,23,67,227,167,1090,141,106,662,616.0,559.0,939.0,397,362,776,177,106,1303
373,340,709,335,271,1007,19,11,100,5,7,100,37,37,47,227,167,1090,141,106,662,425.0,386.0,895.0,184,155,697,177,106,1303
254,217,803,570,513,1169,477,447,909,479,454,641,108,74,444,306,271,1055,19,23,30,504.0,466.0,590.0,186,162,721,84,52,666
582,545,596,70,44,234,436,383,818,186,162,721,53,57,75,306,271,1055,302,265,867,233.0,185.0,786.0,711,685,491,61,48,44
214,147,716,19,23,30,5,12,38,10,2,92,118,77,799,267,228,660,10,1,47,319.0,261.0,1053.0,274,231,554,14,10,73
660,618,892,19,23,30,118,101,592,248,223,572,51,38,48,227,195,515,141,106,662,101.0,110.0,295.0,379,323,1166,278,257,506
295,260,707,261,218,742,369,335,642,40,14,75,268,238,717,627,567,1126,19,23,30,95.0,49.0,212.0,319,287,804,621,594,617
507,472,765,19,23,30,369,335,642,475,435,797,104,62,1228,239,199,905,603,579,531,555.0,489.0,1276.0,144,122,645,453,440,499
393,374,668,19,23,30,430,400,708,174,160,378,76,35,80,962,916,775,16,7,60,6.0,3.0,14.0,140,95,620,31,25,75
362,336,395,19,23,30,143,119,567,174,160,378,154,127,387,107,77,549,15,11,100,784.0,724.0,646.0,140,95,620,327,274,675
537,511,472,19,23,30,77,62,1,143,124,720,327,303,593,273,248,421,511,447,926,274.0,252.0,503.0,365,319,448,334,297,706
252,229,397,438,399,625,156,115,515,43,32,106,507,473,432,116,109,475,19,23,30,13.0,9.0,15.0,617,598,368,678,651,629
352,307,957,106,83,1,49,43,75,140,95,620,413,369,926,18,16,59,19,23,30,379.0,323.0,1166.0,524,476,887,881,849,749
165,133,736,19,23,30,432,401,640,35,14,75,367,334,558,582,545,596,1129,1094,684,98.0,59.0,348.0,68,60,59,414,378,642
23,13,14,19,23,30,526,499,593,30,12,100,678,651,629,58,29,90,1129,1094,684,116.0,86.0,403.0,112,69,466,86,62,553
498,463,795,256,209,725,456,415,668,544,510,764,327,303,593,703,664,927,19,23,30,324.0,294.0,674.0,347,322,894,137,116,822
411,415,508,19,23,30,324,294,674,34,35,4,19,17,61,463,420,927,256,209,725,929.0,886.0,766.0,140,135,429,150,131,542
23,13,14,19,23,30,929,886,766,314,295,697,701,659,829,5,5,4,84,74,82,357.0,328.0,912.0,494,450,458,469,430,906
388,330,800,762,731,907,375,334,567,444,403,795,485,462,654,343,286,1010,19,23,30,787.0,749.0,831.0,314,295,697,332,297,841
315,288,621,277,245,686,787,749,831,314,295,697,485,462,654,131,82,739,19,23,30,650.0,588.0,951.0,299,268,508,443,406,409
276,248,505,487,456,499,7,4,73,63,53,419,581,552,616,315,288,621,19,23,30,56.0,50.0,79.0,253,229,544,537,530,239
448,426,521,19,23,30,7,4,73,25,21,100,132,81,428,276,248,505,978,940,697,15.0,24.0,62.0,63,53,419,20,9,16
728,674,936,251,193,1137,432,391,868,378,323,1150,467,356,1691,558,520,857,248,196,1130,357.0,278.0,1428.0,23,23,41,744,678,1315
432,391,868,196,149,739,31,38,78,20,1,57,467,356,1691,441,377,1067,265,209,1152,16.0,4.0,57.0,492,443,892,552,499,1057
448,426,521,126,108,437,259,240,553,432,391,868,16,9,27,15,9,100,482,441,713,33.0,44.0,57.0,506,486,468,21,18,75
