BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
6317,67178,1818689,19998,121710,1173664,33221,252545,493482,152595
11293,35226,1818689,7504,51866,2896346,465708,13009,102260,64291
376533,1177940,132539,103459,292287,8475,33318,38630,28228,380288
17112,876640,29582,13914,5698,501294,512360,63140,7504,40070
92076,202080,27075,103459,2482198,72067,44759,87834,11474,15767
1842634,350185,10732,66207,50290,19440,52285,8486,718710,43841
202815,1430782,14416,15492,73967,483567,396006,165321,7504,38321
1159010,265815,802734,95340,41353,998524,2467,25364,163689,40786
69524,12028,844493,34505,77977,723877,3223,16752,691007,56915
494168,3223,87443,161226,8222,33552,301834,120453,709405,14288
24877,424049,150870,42585,30812,33552,76814,3446771,351995,86633
998524,424049,320768,12032,223159,5697,32287,33578,149494,20056
5697,15118,25686,49982,28168,333429,2998,21558,85941,411570
494168,18749,116424,7590,22400,98502,315976,793672,253888,48577
494168,24575,831780,152156,56915,33552,15254,89736,35436,4646
99487,125841,27615,31127,67476,34190,3207,39510,204376,300064
184666,424049,11740,22037,30812,5697,1214,186687,18378,54991
97986,372648,21558,161185,42141,494168,493925,14883,126803,4076
15684,3446771,11390,81488,2277,8907,32967,71921,70460,376462
267752,8856,3446771,29674,1510944,98502,41501,36922,92848,574663
593010,3446771,1401637,57595,34999,19609,66642,21991,201,201
640049,19400,218079,28761,101435,572463,24185,296217,210184,56915
494168,48501,574456,718710,196374,331107,15254,3446771,7590,278265
7945,4355,3446771,1342684,295829,184666,125841,7002,75365,60108
17318,195565,3446771,315056,58198,227546,58293,5742,14199,20200
1071010,3446771,542007,201021,264552,177380,38598,1737439,1208,49153
959680,572507,3446771,204758,336959,177380,7572,331563,105817,193848
10801,20816,218079,1453,20167,118322,16010,21811,7818,807494
135073,21601,314227,18272,110293,1233129,227672,117542,591781,574663
52792,11599,12192,174,59898,546250,121324,3446771,87168,225158
316640,121324,3446771,87168,225158,231367,16527,73627,48300,100537
54575,182,29156,225158,61603,31961,78907,34972,1423,422335
1227812,513769,146868,165579,1361931,304295,60265,3446771,70120,210999
20203,6699,3446771,232635,225158,74100,316211,55972,8787,74586
59378,3446771,259712,509999,76885,9567,372648,123839,42212,627865
1173664,76814,14679,134512,48706,26844,89736,27692,11136,2422448
169515,471279,19488,34270,1848621,1717613,14673,239120,136508,2446150
399610,368257,5190,6106,2350610,214913,212786,159768,61428,49153
2369885,198921,2834,956,10236,392230,63596,25686,89500,142936
1540,198921,53102,76684,2080,6640,3044,86715,113088,4246
394871,66642,3247,471279,3519,1978756,125,113247,125,418612
1978756,1177341,220473,77315,64149,98936,39480,86715,54120,30812
1392321,141183,9745,1342684,56915,451769,471279,154316,57398,45772
573749,212786,7608,2018,22379,1392321,241041,13214,773218,38998
213675,572507,296217,266082,2424,4640,1121660,66642,29223,13687
45613,471279,11930,108064,9897,123563,150217,3247,1666691,142936
130223,110727,101196,98827,198552,120267,57661,36322,264552,230097
4453211,34363,182426,36509,7811,139859,272,207801,1767,15398
185422,25299,26927,12124,39075,120267,15823,3885,1113,39105
123563,65577,130874,26123,17700,9429,241041,152709,108804,27663
1225,20921,83868,45260,919,98936,331861,62102,57201,56915
98502,69762,116424,121017,21928,207356,24740,21558,146399,4646
98502,12903,1540216,47284,264552,913512,10130,126840,9854,249646
98502,198948,99910,17721,28311,1595721,1621245,18665,252361,8207
97690,1172309,175951,112496,2202,389451,76814,98502,56681,2482198
593010,281,21991,18378,30024,98502,53393,137735,241745,386289
98502,329012,5114,66601,75960,2326809,146069,29087,286845,6068
98502,5051,2171,52234,1848621,3745202,167724,86715,15211,601819
98502,212786,1609,178135,39075,1978756,88166,234717,66258,89218
2215251,115397,64441,89013,152149,98502,5051,572507,57595,147494
