BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
892.0,876.0,374.0,15.0,21.0,70.0,16.0,13.0,71.0,724.0,697.0,597.0,97.0,75.0,71.0,18.0,21.0,30.0,514.0,469.0,470.0,30.0,29.0,7.0,12.0,9.0,35.0,682.0,667.0,502.0
513.0,468.0,470.0,154.0,125.0,469.0,576.0,557.0,548.0,724.0,697.0,597.0,412.0,397.0,488.0,515.0,486.0,469.0,46.0,31.0,472.0,162.0,133.0,227.0,260.0,241.0,312.0,689.0,647.0,706.0
515.0,486.0,469.0,315.0,295.0,97.0,20.0,17.0,55.0,27.0,18.0,69.0,293.0,272.0,79.0,19.0,18.0,74.0,250.0,249.0,224.0,724.0,697.0,597.0,247.0,223.0,627.0,389.0,371.0,189.0
106.0,65.0,825.0,485.0,481.0,343.0,419.0,387.0,879.0,724.0,697.0,597.0,412.0,397.0,488.0,78.0,57.0,371.0,242.0,220.0,667.0,757.0,726.0,674.0,116.0,76.0,1053.0,6.0,5.0,78.0
892.0,876.0,374.0,121.0,110.0,242.0,225.0,203.0,352.0,724.0,697.0,597.0,315.0,260.0,562.0,30.0,29.0,7.0,430.0,406.0,677.0,410.0,374.0,546.0,267.0,242.0,40.0,454.0,424.0,438.0
116.0,105.0,14.0,79.0,49.0,359.0,892.0,876.0,374.0,501.0,479.0,499.0,226.0,208.0,327.0,126.0,114.0,224.0,75.0,50.0,82.0,60.0,38.0,110.0,724.0,697.0,597.0,330.0,300.0,653.0
513.0,468.0,470.0,13.0,3.0,70.0,169.0,130.0,412.0,501.0,479.0,499.0,245.0,229.0,236.0,116.0,105.0,14.0,13.0,3.0,92.0,141.0,105.0,509.0,724.0,697.0,597.0,131.0,101.0,349.0
18.0,21.0,30.0,13.0,3.0,70.0,67.0,57.0,211.0,724.0,697.0,597.0,318.0,285.0,43.0,116.0,105.0,14.0,50.0,24.0,100.0,126.0,114.0,224.0,501.0,480.0,483.0,22.0,14.0,37.0
18.0,21.0,30.0,829.0,798.0,143.0,179.0,130.0,525.0,51.0,50.0,44.0,318.0,285.0,43.0,116.0,105.0,14.0,534.0,457.0,668.0,136.0,126.0,380.0,724.0,697.0,597.0,245.0,200.0,271.0
18.0,21.0,30.0,534.0,457.0,668.0,370.0,316.0,1168.0,145.0,148.0,75.0,318.0,285.0,43.0,64.0,61.0,96.0,490.0,465.0,426.0,13.0,11.0,100.0,724.0,697.0,597.0,131.0,111.0,446.0
