SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,84,238,7,429,32,-1,-1,119,895,777,166,200,268,222,53,163,24,555,254,78,1,13,23,1,0,2,0,1,1,1,1,5,2,0,0,2,0,0,1
KOREA,516,64,517,236,267,157,-1,119,-1,429,58,80,13,15,350,107,78,887,555,163,0,43,24,0,4,0,1,0,2,1,10,4,2,0,0,0,2,0,0
KOREA,19,76,234,15,350,119,41,55,163,777,887,59,268,222,117,-1,119,429,555,267,1,14,28,1,0,2,0,2,0,1,0,5,2,0,0,2,0,0,1
KOREA,517,78,163,15,888,895,119,-1,7,555,58,60,234,18,12,268,119,-1,68,429,0,35,40,1,0,4,1,0,2,1,5,10,1,0,3,1,0,2,1
KOREA,98,80,3,429,888,150,119,895,163,555,517,203,13,29,53,15,68,91,119,-1,1,6,23,1,0,2,1,0,1,1,0,6,2,0,0,2,0,0,1
KOREA,150,78,163,221,350,895,-1,-1,41,-1,164,80,3,15,235,-1,-1,429,555,119,1,10,23,1,0,1,1,0,2,1,1,6,1,0,1,1,0,1,1
KOREA,59,246,84,235,223,119,-1,30,163,555,234,245,777,81,432,30,7,24,76,119,1,27,10,1,1,1,0,2,0,0,6,0,2,0,0,0,1,0,0
KOREA,150,245,777,15,53,555,236,-1,76,119,85,163,246,429,111,110,711,43,-1,55,1,48,31,1,3,1,0,2,0,0,11,2,0,1,0,0,2,0,0
KOREA,266,80,103,81,43,777,15,429,7,-1,41,64,517,236,267,-1,86,429,555,142,1,20,25,0,1,1,0,1,1,1,2,8,1,0,1,1,0,1,1
KOREA,266,234,13,15,235,91,78,58,555,166,19,62,3,523,22,41,221,-1,163,429,1,18,38,0,2,3,1,1,1,1,3,11,1,0,2,1,0,4,1
