SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,84,78,163,429,555,895,62,23,147,119,24,200,45,523,40,-1,350,895,114,119,1
EUROPE WEST,75,234,268,221,26,163,141,432,119,895,27,91,517,360,888,150,246,555,15,62,1
EUROPE WEST,887,107,163,15,497,350,246,895,40,119,113,131,157,429,412,895,517,7,119,432,0
EUROPE WEST,41,62,517,15,43,163,887,246,119,-1,102,76,58,81,267,119,163,147,-1,350,0
EUROPE WEST,150,131,517,18,111,429,84,246,141,119,39,234,711,221,350,119,429,-1,2,246,0
EUROPE WEST,887,104,163,29,43,350,429,246,38,119,84,203,1,81,432,429,246,107,119,62,0
EUROPE WEST,39,77,517,96,350,200,497,84,246,62,117,48,777,221,26,200,119,163,29,69,1
EUROPE WEST,39,91,43,96,526,119,429,84,200,122,58,78,163,235,74,246,119,200,15,114,1
EUROPE WEST,164,59,517,21,37,432,429,895,119,350,240,203,711,29,117,421,895,887,246,121,1
EUROPE WEST,23,200,517,202,22,147,429,246,114,119,150,234,711,81,59,119,163,432,350,91,0
EUROPE WEST,887,200,777,429,32,119,29,27,163,246,150,62,142,222,117,23,114,246,119,78,0
EUROPE WEST,114,113,517,360,888,107,-1,131,119,84,98,234,163,221,117,246,107,555,78,266,1
EUROPE WEST,887,104,112,67,432,163,78,-1,350,429,266,62,517,360,79,-1,119,39,163,246,0
EUROPE WEST,84,234,711,523,117,246,15,421,163,517,887,2,127,221,432,777,78,119,114,203,1
EUROPE WEST,114,62,84,119,40,141,91,41,429,555,887,2,163,523,432,15,78,246,76,203,1
EUROPE WEST,238,163,517,221,350,29,-1,117,119,888,39,80,245,523,432,38,119,429,-1,-1,1
EUROPE WEST,113,91,84,236,267,117,119,111,517,107,164,234,163,429,44,78,246,117,-1,119,1
EUROPE WEST,2,131,246,15,350,111,-1,266,119,84,92,234,221,517,555,58,888,268,147,163,0
EUROPE WEST,24,62,103,81,350,111,895,15,122,-1,777,131,166,157,235,555,203,268,58,164,0
EUROPE WEST,887,200,777,15,43,119,555,84,55,254,64,131,238,81,267,7,91,350,157,-1,0
EUROPE WEST,113,254,777,119,50,-1,114,-1,888,84,420,20,163,360,34,104,15,39,35,107,0
EUROPE WEST,98,64,103,429,12,246,111,887,22,-1,41,80,38,15,888,119,200,84,350,777,0
EUROPE WEST,2,80,517,498,22,-1,246,38,-1,111,240,59,103,15,497,107,39,163,119,114,0
EUROPE WEST,2,59,84,81,3,34,-1,429,163,114,266,64,131,119,117,517,221,92,429,350,0
EUROPE WEST,122,20,84,29,117,360,421,119,67,350,200,254,99,15,43,-1,119,28,114,517,1
EUROPE WEST,887,246,163,15,44,888,141,78,62,119,67,80,74,236,267,119,350,55,-1,895,0
EUROPE WEST,150,104,84,15,43,-1,119,35,221,28,113,77,157,96,16,429,350,517,7,200,0
EUROPE WEST,24,48,268,429,50,39,-1,114,221,84,79,77,517,119,43,131,200,432,114,32,1
EUROPE WEST,102,80,43,15,117,107,28,517,555,114,79,254,163,523,412,-1,141,39,119,429,1
EUROPE WEST,126,104,103,429,526,119,-1,58,235,895,2,80,61,360,427,122,163,107,119,200,1
EUROPE WEST,164,62,61,81,555,114,119,-1,78,200,122,121,268,523,43,203,895,27,114,350,0
EUROPE WEST,246,62,887,429,888,360,711,350,895,200,516,254,245,145,16,55,119,150,-1,350,1
EUROPE WEST,2,9,39,145,888,80,119,246,350,55,92,131,157,15,432,-1,7,114,429,555,1
EUROPE WEST,164,876,777,429,888,39,119,107,895,350,98,59,84,21,22,200,887,246,119,-1,1
EUROPE WEST,79,80,163,157,497,119,246,43,429,-1,266,62,84,523,40,246,107,11,34,39,1
EUROPE WEST,92,120,163,895,44,86,58,141,28,350,240,78,7,145,32,517,-1,141,777,350,0
EUROPE WEST,887,60,112,429,44,78,84,62,119,246,266,200,268,22,111,114,245,350,40,78,0
EUROPE WEST,234,80,21,268,101,141,246,104,119,350,2,60,112,498,497,555,246,119,77,114,0
EUROPE WEST,240,517,74,429,117,119,62,555,67,157,79,200,142,523,888,119,266,39,141,432,1
EUROPE WEST,80,234,7,119,267,-1,131,114,107,15,84,141,3,429,432,163,114,350,107,78,1
EUROPE WEST,887,64,134,67,888,119,78,350,41,234,113,62,103,145,555,119,114,429,350,432,1
EUROPE WEST,164,234,84,29,117,147,55,119,114,28,887,200,4,81,432,119,35,350,78,163,1
EUROPE WEST,39,62,13,236,40,350,429,-1,163,119,166,59,34,145,111,350,119,107,421,16,0
EUROPE WEST,79,77,15,142,44,429,119,200,114,888,24,234,8,21,43,45,432,-1,114,119,1
EUROPE WEST,23,60,7,145,111,350,246,432,39,114,150,77,268,119,44,350,427,114,555,203,1
EUROPE WEST,41,141,142,22,497,895,350,777,62,-1,17,131,166,81,99,121,-1,28,119,15,0
EUROPE WEST,41,59,103,429,44,28,203,777,888,350,246,80,81,82,223,119,888,350,895,887,0
EUROPE WEST,39,35,163,202,32,28,119,429,235,777,150,80,81,13,43,119,895,350,114,429,0
EUROPE WEST,126,234,268,221,43,429,200,163,350,166,2,131,112,523,32,555,23,84,141,517,1
EUROPE WEST,164,121,163,429,32,114,141,62,350,246,887,78,103,22,117,221,350,200,203,119,1
